,z
0,-0.7910949
1,-0.8285051
2,-0.90364206
3,1.1883978
4,-3.5249846
5,7.5957494
6,-1.9742473
7,-0.024713589
8,-6.6292405
9,6.564521
10,2.0266964
11,-6.985161
12,-1.0664496
13,-0.5265871
14,-1.9026144
15,-1.7829746
16,3.6624703
17,1.8541919
18,6.461437
19,-0.17986366
20,-1.2901489
21,-2.0592446
22,-3.600397
23,-3.2456038
24,-6.3779035
25,5.0416136
26,6.108762
27,8.871452
28,1.9037945
29,-3.8684576
30,-7.4613366
31,4.423723
32,4.0004582
33,0.8188369
34,-2.7327154
35,0.73479
36,6.8953104
37,0.18895292
38,1.6745996
39,0.33125633
40,2.8160532
41,-4.3185635
42,4.350765
43,3.5094764
44,-2.786952
