z,pt,dzErr
2.404546,1.9056556,0.02914409
2.6086967,0.6655458,0.03455222
6.620285,2.0157433,0.016210908
-1.8960121,2.2860944,0.006797299
-2.25414,1.0240046,0.008811365
3.333925,1.5131279,0.005787627
6.373129,0.9773223,0.0077517545
-0.56982106,0.7156819,0.0077782273
-5.239247,0.6111708,0.019757323
3.3092072,0.79823506,0.02265272
-1.8904903,0.7457624,0.031903
-0.62927353,0.7031069,0.05369007
1.3560729,1.0158265,0.04769682
-2.18857,1.3175169,0.04846123
3.1978302,0.9830966,1.3662436
4.0251083,1.1615369,0.14659068
3.3367994,2.9453416,0.0050631133
-0.45367727,0.9765545,0.013245564
5.5167236,0.93211436,0.0105379885
4.9730463,0.715518,0.024431651
3.620637,1.4045768,0.9561497
3.327763,0.86433107,0.010046869
2.4199843,0.6261866,0.013585617
3.3769202,0.60861695,0.16110754
4.5427155,1.2597336,0.017706325
-1.0972221,1.1231928,0.08888537
2.3995602,0.78693205,0.06325911
6.891014,0.63977665,0.3304252
3.216205,1.3859434,0.036721263
3.3559074,0.90587527,0.040353373
1.4155157,2.7109158,0.012840666
-7.205742,0.5236514,0.121881306
3.4071038,0.5358155,0.26391354
6.7939377,0.56521827,0.17902774
0.949575,0.65157765,0.22886609
4.6199627,1.4008472,0.09633448
5.5163035,1.3047734,0.08985122
1.408267,1.7289525,0.048935436
11.3839035,0.6052364,0.19660069
2.6279352,0.55447865,0.1746361
5.4300566,1.3637239,0.080826186
5.161546,1.6709334,0.09730034
1.3280172,1.0711386,0.13146868
3.5402224,0.5611775,0.16781582
6.65868,0.8190051,0.13750687
2.4367034,1.0889479,0.07480731
2.450219,2.107025,0.04420474
-1.8873254,3.2495437,0.03844917
3.775695,0.8855912,0.07485793
-1.9256262,2.2952611,0.03513679
3.2450695,1.9628906,0.040571272
3.3771846,1.6802868,0.050206665
3.3839476,2.6310298,0.034876954
0.71274996,0.6502047,0.11992602
4.8758206,0.63042104,0.111818165
-0.1296449,0.87942547,0.07735526
3.7334583,0.6194782,0.11341494
0.4702365,0.8543623,0.1010172
2.7719324,0.50546986,0.16459037
3.4969065,1.6227303,0.0474419
1.504581,1.0444713,0.07159447
1.4856943,0.60705155,0.11237425
-2.9237633,1.2802619,0.0573431
-3.880146,0.6723249,0.099160686
-3.9950192,0.6847047,0.15717918
1.3034699,0.8595163,0.08569004
3.0723534,0.69143176,0.103983514
3.2546434,0.80008745,0.09615927
6.552184,0.7052494,0.107411385
6.393738,0.63445127,0.09604958
-2.0330296,0.7090227,0.08413571
-3.9502454,0.8752595,0.06228424
2.4797106,0.68368953,0.06997584
-0.33275154,0.5873726,0.1076445
11.343977,0.5430511,0.12781851
0.3666436,0.6918406,0.08461277
6.487492,0.5277887,0.11836315
-1.7862273,0.6369305,0.10887933
-4.113723,0.9944794,0.096671164
0.78426003,1.1789297,0.05526638
-1.9835488,0.802114,0.06807884
-2.8105242,0.7341705,0.07304515
-1.8798748,4.885362,0.012517207
-1.8849438,1.2783281,0.0427919
-4.224268,0.99753875,0.060929798
5.805596,0.52594006,0.090686046
-2.3366766,0.6564868,0.07133804
-3.8555462,1.6956377,0.028178722
0.028496895,0.6098441,0.0749554
3.1951258,0.8000741,0.06282416
-1.8957001,1.404867,0.03440333
-2.788651,0.9176407,0.08473334
4.023302,0.78562015,0.094884045
0.65815437,0.67446417,0.08743567
-3.3058522,0.52951163,0.09902383
0.41602936,0.64062667,0.09061178
-3.7187092,0.8061928,0.05804197
-3.9692643,0.6333377,0.08280121
3.254314,1.3317801,0.041907694
-1.9368848,0.9670969,0.06407472
1.3563046,0.542197,0.087375596
0.46828714,0.8396981,0.06758011
3.3203633,2.179362,0.01890014
6.3653507,1.5712831,0.028746141
3.21607,2.1411672,0.020698922
-3.0660346,1.5634239,0.036213562
4.6589828,1.1588897,0.053941213
3.2972944,0.55270684,0.08658608
5.6823826,0.7558801,0.068831064
-2.919351,0.65766835,0.07201004
0.64154476,0.592294,0.06860962
0.32564506,0.68261504,0.061224476
-5.137769,1.8896271,0.022583932
-1.8998291,0.8302898,0.07709247
5.8965845,0.91138905,0.04215402
-1.904232,0.62945795,0.063986786
-4.092408,0.79155856,0.05067903
2.3889077,1.8398851,0.022167617
-0.3177412,0.65738183,0.062343594
-0.5883429,0.9615838,0.037042968
0.44003624,0.79788905,0.056080084
6.619722,1.360779,0.03037007
6.546169,1.2475364,0.04338079
3.2450378,1.3736122,0.026551405
1.3584846,0.8198745,0.054320972
5.473231,1.175086,0.03260956
6.2621984,0.85350597,0.049978733
3.2825727,0.93512136,0.04569483
-4.1050386,1.439919,0.029850673
-4.1211863,1.4185541,0.023467137
6.350625,2.526071,0.014155506
1.3479497,1.0965892,0.05203828
0.6814494,1.3424819,0.026282648
3.2899184,0.65119696,0.049270608
2.4235077,0.81846404,0.041135587
5.4800124,1.0976384,0.02499857
-1.864499,1.0081779,0.035630316
3.3076718,0.7481727,0.049472794
-1.0121052,0.62315476,0.055742558
-3.2230263,0.6197702,0.04698479
-0.5885622,0.79166585,0.037297033
-2.9305444,1.35381,0.022148479
-6.769795,0.78018385,0.03318968
6.540705,0.5130626,0.060075425
-3.793192,0.7995351,0.047880612
-1.1103667,1.1830832,0.028773692
-1.8928539,1.133916,0.024813667
6.63012,1.8936001,0.019494358
3.7402456,0.91067934,0.0471267
-1.8927038,0.9686198,0.031471066
-2.203227,0.8698123,0.038998846
4.558744,1.3399543,0.033032678
-5.258793,1.0472158,0.027668124
-4.024421,0.5580402,0.039903663
6.3721933,0.89536744,0.037837826
-0.117954,0.88115674,0.027534695
3.2314658,0.60162324,0.04491149
-3.5185716,1.024538,0.02815721
6.3651366,1.3395473,0.018334266
5.502539,1.3935765,0.013862774
-0.9088854,2.088595,0.011379544
0.4629807,0.76368606,0.028941046
-0.11109389,1.3374032,0.017156972
-2.290997,0.5310092,0.041435286
6.5951724,1.0990477,0.022220556
1.3727055,0.8138848,0.033529345
1.423382,0.74967027,0.034577202
0.7147905,0.51413155,0.04878593
1.3825986,1.3751627,0.014807887
1.3188785,0.60777336,0.035267863
2.464686,1.5122328,0.01580443
-2.9325104,2.1876545,0.008569607
-3.4576085,0.58741146,0.032240685
5.4809284,1.9076866,0.0099760685
-2.8425722,1.9977701,0.010630886
0.7433486,1.3179183,0.015441114
-3.016348,0.5659644,0.026823575
0.7062601,0.6392531,0.029163728
3.326744,0.57418454,0.03404266
6.5832925,0.7608533,0.0218745
4.5145755,0.6037701,0.026338758
-4.098557,0.6554774,0.023799222
2.4446373,1.3249086,0.011409992
6.367585,1.0855764,0.012474432
2.053386,0.98539144,0.026830722
5.513866,0.91894066,0.015862444
6.850553,0.5486079,0.02397322
3.3295321,3.2337635,0.006823068
6.611284,0.63457805,0.021889122
3.6943145,0.68194324,0.021191712
1.3956963,0.78120977,0.016766211
-5.47877,0.6559198,0.016934756
-4.112014,0.9772301,0.021196477
11.351614,0.89321417,0.013504826
6.6543612,0.89391285,0.01231434
-0.56441814,1.0586638,0.013763742
6.5851793,1.5057548,0.011148071
0.7052419,1.2729686,0.008708756
-0.5834691,0.7576058,0.013607088
5.4969954,0.9696385,0.012018533
5.493638,1.1804409,0.00966421
1.4322352,0.7463975,0.015258736
0.71207935,1.1306609,0.012619272
3.2412333,1.4103295,0.008798263
-2.9420161,0.60009646,0.02213525
2.4275346,1.2506044,0.011099379
-2.7700171,0.98740155,0.011657498
0.40922406,1.2361115,0.009441592
5.355365,1.8380805,0.0073129265
-1.489326,0.7027186,0.018949658
-2.2742379,0.5815723,0.0187374
6.3818316,0.98185575,0.011216713
2.9440587,0.50372463,0.023631606
5.4946885,0.757613,0.014941478
4.951656,0.7451769,0.016391154
-4.1140003,0.67366856,0.014405276
-2.7803419,0.88709736,0.011093468
-2.8999894,0.5026681,0.018285332
0.43003526,0.7576772,0.013364386
3.3385932,0.5147009,0.0243385
6.5767007,0.5406531,0.015281708
3.3157995,0.857698,0.010863557
1.3925531,1.0316358,0.010440066
3.2354982,1.1811359,0.009030765
-0.09699412,0.62876976,0.013325663
-4.117746,1.9296709,0.0066290176
-0.09634666,1.2153097,0.010911604
6.645378,1.0718913,0.010089357
-4.1272974,1.0741966,0.008432252
1.3927532,2.175572,0.006289688
-0.5740428,1.0403292,0.009359969
3.36233,0.8716743,0.010228927
-0.5680685,0.7517791,0.012447832
5.4743643,0.91922915,0.009958812
5.195189,1.1382113,0.009848321
2.3846052,0.57799864,0.015969083
-0.34682214,1.2042454,0.007870829
2.4452767,1.0344316,0.012158299
-2.9293659,1.1442276,0.0077259284
-1.9022739,0.68893576,0.011648819
5.354446,0.75843316,0.011650407
-3.87317,0.761501,0.0095321955
-4.123594,0.63445556,0.01110168
6.3664536,3.6856804,0.003495585
-1.1140912,0.71669567,0.010770934
-2.2471747,0.5190937,0.014220148
3.223589,2.319275,0.0045586224
-5.25366,1.8059717,0.0053554745
0.42468438,1.4438678,0.0076446603
-4.136456,1.5500176,0.005698796
-0.35305774,0.77641654,0.009774504
-4.8518214,0.6184038,0.011175469
-5.454725,0.7457425,0.010771654
1.0961143,0.7223721,0.010644595
