,z
0,-1.7792376
1,-1.8329443
2,1.5812758
3,-0.73420805
4,-0.895448
5,3.3050113
6,2.387033
7,-1.4682096
8,7.5992694
9,-0.41679463
10,-0.50302804
11,2.3229296
12,0.16974558
13,-1.6370312
14,1.7913609
15,2.041159
16,1.9579897
17,5.232592
18,1.4809109
19,4.841986
20,6.95485
21,4.0262794
22,2.7136664
23,2.2055023
24,2.5928252
25,-0.039672047
26,5.130475
27,7.0156417
28,2.8533354
29,4.161026
30,0.11071953
31,4.875362
32,10.269147
33,-1.0812695
34,-3.8013034
35,-1.3903329
36,0.75539947
37,4.54271
38,3.6781383
39,0.6781379
40,4.4774547
41,1.2864156
42,-7.3304057
43,4.212667
44,2.5206769
45,-0.25284684
46,2.6282158
47,-6.1851106
48,-2.507525
49,-1.9460367
50,0.39449015
51,-2.8985717
52,0.3376399
53,-4.5402822
54,-3.289629
55,1.4298398
56,3.0741396
57,6.1912065
58,7.4652166
59,-2.1753504
60,-4.9661813
