,z
0,4.5018616
1,-2.5229921
2,-1.4839545
3,-2.995627
4,0.9026336
5,1.1023821
6,5.4096837
7,-2.3277984
8,-1.3511298
9,-4.134222
10,1.3783814
11,-3.5160546
12,-5.9720244
13,2.755109
14,3.091933
15,-3.4633172
16,0.6358283
17,4.1816907
18,-2.7849183
19,4.062228
20,-1.2785155
21,4.637498
22,2.2647932
23,-1.1574544
24,2.6705425
25,2.874746
26,-1.2280834
27,3.0302374
28,3.1972978
29,2.112654
30,0.6940527
31,2.6315682
32,-1.3671752
33,-5.712859
34,-2.6295946
35,-1.8342351
36,1.9442396
37,-0.8756131
38,-8.433397
39,-0.7282117
40,0.30140424
41,0.7415058
42,-5.132165
43,3.1768596
44,-0.48233595
45,-6.9787283
