,z
0,5.8836727
1,1.6935024
2,-1.3361981
3,6.197806
4,2.0367806
5,-1.7049243
6,-3.1275663
7,5.6711955
8,4.810789
9,-1.2748933
10,2.903346
11,1.8764379
12,-1.9791732
13,0.70039964
14,-2.4166405
15,2.7343838
16,2.3259964
17,1.7354583
18,1.8091164
19,1.3360256
20,4.378952
21,1.7766613
22,-3.6442208
23,-8.910544
24,-0.9921566
25,0.12112662
26,0.40049317
27,-0.8289767
28,3.8568377
29,3.484923
30,0.263484
31,1.590738
32,1.0716144
33,4.2949777
34,0.36919662
35,1.1974484
36,0.44296646
37,4.706843
38,0.03241924
39,-0.61083126
40,3.7340508
41,0.40458915
42,11.842472
43,4.624722
44,1.6855524
45,-1.1707921
46,-0.19123194
47,-1.4398949
48,-0.50484234
49,2.0399523
50,0.17101233
51,3.0495245
52,1.4337537
53,7.6298146
54,-4.814182
55,-0.33534262
56,-1.8400736
57,-1.3297803
58,9.090815
59,2.0513902
60,-5.183857
61,0.16295752
62,3.5468736
