,z
0,0.42618006
1,2.5636535
2,3.7390268
3,-1.4526374
4,-1.0406487
5,-3.404461
6,2.4826124
7,-2.8845007
8,-4.1596932
9,-1.6103878
10,-0.81300974
11,-3.1726778
12,1.7885259
13,5.5487933
14,0.8829365
15,-0.38103533
16,-5.794126
17,-0.6457662
18,-1.9004322
19,-0.9456754
20,4.6414304
21,7.93181
22,4.5911093
23,-5.2936797
24,-0.9912045
25,9.028992
26,-5.2237606
27,8.478996
28,-0.5918053
29,7.2036066
30,0.73001367
31,-5.14751
32,1.9030142
33,-10.768995
34,6.9592066
35,-0.15969495
36,-2.809856
37,5.8475614
38,-2.16551
39,2.3427684
40,9.807433
41,0.78827333
42,-2.9865227
43,3.030991
44,1.3964509
45,-8.408203
46,-7.5540757
47,-5.0283966
48,3.4569156
49,-2.6590984
50,4.9060054
