,z
0,0.44553635
1,-0.54386675
2,4.5458846
3,-0.78214985
4,10.578446
5,-6.6239133
6,-1.8144827
7,-2.8411357
8,7.698863
9,2.9573321
10,-3.7092626
11,-0.76512605
12,-2.0449207
13,2.880473
14,8.374637
15,4.2028785
16,7.9155107
17,-2.269428
18,3.152673
19,6.855846
20,1.1682318
21,8.096463
22,3.0741544
23,-4.2082334
24,2.9148483
25,-0.15167664
26,3.5960464
27,-4.488782
28,-4.083023
29,5.3650537
30,-2.128233
31,-0.19620453
32,3.9347827
33,-0.6279992
34,-1.5195619
35,1.8333404
36,3.5908597
37,3.4718788
38,1.8831619
39,-3.902062
40,-2.1752026
41,-0.12036084
42,-1.9097797
43,-2.5297518
44,-0.504796
45,2.2565076
46,1.3259293
47,-2.7885795
48,-1.7717341
49,-4.1402555
50,-0.2872539
51,1.8281944
52,1.1753066
53,-1.059954
54,1.5702972
55,-1.1821223
56,-3.4957364
57,-3.2290943
58,-6.0629654
59,-0.6327884
60,2.8252015
