z,pt,dzErr
-1.0671283,0.93697476,0.07831643
1.8284408,0.999634,0.029638387
-4.621091,0.8458409,0.024727732
1.5035621,0.5354773,0.018139271
0.38012657,0.7104504,0.014628777
-3.6263354,1.1517321,0.0067487448
-1.2785386,0.7401935,0.010911825
-2.627353,1.3080139,0.02374671
7.535612,1.0717942,0.0789184
-2.504876,1.5058254,0.064638324
-2.611405,1.2109004,0.007923964
-3.0324755,1.5844003,0.10256362
-5.381655,0.5757244,0.039833672
6.23317,0.8149493,0.0126485005
7.559229,0.8107275,0.00913194
-6.4735293,4.612863,0.007984343
-5.5537148,0.794978,0.02694339
-1.2982407,0.6064407,0.017290318
0.5454284,0.71694016,0.025297882
1.2120224,0.8492129,0.18198247
7.3451223,1.261028,0.0835705
3.3172219,0.6050253,0.16830261
2.9454381,1.8543993,0.054292932
7.663727,1.0396554,0.10452185
4.7845664,0.71302944,0.22850904
1.4440058,0.55858845,0.10354901
1.2507954,1.0333247,0.07656096
-4.441966,0.51559436,0.18686901
-4.627224,0.6128667,0.14524266
1.9372334,1.500334,0.052557036
-2.477771,1.9127326,0.06358367
-2.450363,0.85724986,0.13735297
0.53285736,0.6366386,0.13932411
-0.9821026,0.80193055,0.08424005
1.5514905,0.6542675,0.11841117
0.35082924,0.8446683,0.082466036
-1.1104971,0.5411388,0.14114773
0.3507127,0.9707078,0.07899993
-0.8733356,1.0417541,0.0767686
-5.52448,1.460741,0.07583702
0.47119725,0.66555625,0.16466758
-1.3583541,1.0966847,0.12988465
-1.4156984,0.76524794,0.08645927
-0.07848975,0.503404,0.15389898
1.3005215,1.5000404,0.055798605
-2.5665867,0.6273036,0.1809125
-2.2369828,0.6796582,0.096414395
-0.8221323,0.57260734,0.10645724
3.72638,0.7687738,0.1224442
3.786907,0.5123094,0.13345872
-6.410687,2.8303819,0.028370325
-6.515232,0.86297536,0.05899518
3.636435,2.3064747,0.02317493
0.8011258,0.76611423,0.06156782
0.44150728,1.1726737,0.04539152
-0.81823426,2.0344167,0.02852091
-1.0929255,0.87892663,0.058979664
-5.3691506,0.588852,0.09067311
-0.7910572,0.642484,0.0912412
-1.2795581,0.9704454,0.05071534
7.5676227,1.7113347,0.036143646
-4.406317,0.6561767,0.09719335
-2.471096,0.93331957,0.05571992
-0.91831416,1.0474876,0.056273017
0.7364888,0.7645846,0.080338076
1.3605386,0.6223873,0.065851815
-2.8158784,3.431849,0.014815471
0.59705096,1.0795829,0.04305417
3.5430028,0.5562054,0.0954314
-1.1972975,0.557862,0.086127505
8.230222,0.76313287,0.04637654
-3.0657377,0.5720989,0.07144866
3.683142,1.377038,0.029923609
1.8326231,0.7068165,0.07181292
-2.6977172,0.5731897,0.08810094
7.5919714,1.2755997,0.035296634
7.537319,0.5979447,0.06794471
7.4199376,0.66313064,0.079831235
-1.9681196,1.6374563,0.021444602
-1.4197335,1.012371,0.038972605
-1.3991212,0.64794964,0.059638757
7.4994493,0.6460579,0.08418292
-2.6745257,0.5077805,0.06902762
2.0413792,0.73210114,0.054230023
3.6655412,1.4815558,0.021381652
-5.5415745,0.67837113,0.03923381
0.5316051,0.6158725,0.04736073
-2.585383,0.5946501,0.04664732
0.17397407,0.5335573,0.06372666
0.31188798,0.5167314,0.05832496
-7.073001,0.8778413,0.041685466
-5.568939,1.28499,0.027432607
-6.0673275,0.7811255,0.053532608
-0.97303534,1.2258829,0.021410396
0.49112126,0.95969915,0.030020721
1.3342761,1.3960654,0.025963774
-2.5880518,0.7954356,0.055732876
-1.0037484,1.8919832,0.015923386
-1.469021,0.90973914,0.035771165
0.70211524,0.77400964,0.044535264
-0.8560154,0.6568148,0.03611735
-2.4265995,4.188099,0.009272077
-6.465739,1.009558,0.02581455
-3.2247868,0.98765254,0.027899396
-1.5315921,0.5078615,0.04727609
1.3715506,0.7629547,0.025640512
-1.0729947,0.73191386,0.064268306
-2.4766,0.6842291,0.036124032
7.5587673,1.1468846,0.021975344
-2.8009932,1.1413586,0.02356681
-1.2495868,0.6452164,0.035643596
-1.943596,0.97954094,0.01952797
-2.671139,0.7170264,0.03136552
-2.4545507,0.6245847,0.03547167
-2.4367921,1.4524395,0.015921013
-2.6181595,1.1191162,0.019048551
1.3072405,0.9724452,0.028158683
-2.4938037,0.76855963,0.026950601
7.5282736,1.5227921,0.021259552
-6.475434,3.200219,0.0076957787
-0.86280566,0.7436816,0.03807038
-4.849135,0.5190839,0.042200837
-6.3429885,0.7607123,0.025615525
-6.357128,0.9800952,0.026662424
-1.3536996,0.6254308,0.03412098
0.456488,1.022019,0.017057335
0.40690488,1.9646997,0.009887786
1.3635613,0.6319959,0.025693698
-5.5518894,0.63954395,0.03258638
0.40966123,0.6213782,0.022862392
6.2285585,1.6926541,0.0095371585
2.0232255,1.1707561,0.013834813
3.7207627,0.91402596,0.014230393
0.6461844,0.52971417,0.022842862
-2.830842,1.3096377,0.01415253
-5.532954,1.0417168,0.013987275
8.821198,0.90447074,0.01608793
3.6021605,0.56762266,0.02181813
6.2187414,0.84223676,0.019139761
0.6872572,0.74199784,0.019409385
-6.3324504,0.8360039,0.01655489
0.38235113,0.7764387,0.021929996
0.38873932,0.67672706,0.018635407
6.203214,0.89694107,0.011383698
2.0388072,0.9056989,0.013675882
-0.8495873,1.8199694,0.006874206
-2.435593,0.7386657,0.017331827
-6.376312,0.52562064,0.019670155
7.549194,1.4220752,0.007875364
-2.6332145,1.646172,0.0075711687
-2.6169262,0.9820471,0.0106772175
-1.3134819,0.6402733,0.017309047
-3.2188625,0.99172956,0.011964326
0.6315047,0.6272087,0.017473144
-2.3365417,0.5255197,0.021212704
1.9821594,0.60618037,0.014901098
-6.4777536,0.87884116,0.010053023
