,z
0,1.488964
1,-1.8955872
2,0.4634981
3,4.696425
4,-2.5277731
5,-0.08206983
6,2.6259055
7,1.9907614
8,-0.5536194
9,-0.28791758
10,-6.650276
11,-1.9020978
12,2.8343897
13,1.6624966
14,-2.7946131
15,8.775359
16,0.14129166
17,4.702985
18,-2.6300344
19,4.5354147
20,6.1412187
21,-7.4151645
22,-5.593667
23,5.0320516
24,-1.7138795
25,1.310431
26,-8.06422
27,1.5862226
28,1.3982252
29,1.0954039
30,0.16919985
31,-2.8545427
32,7.1173787
33,5.7487683
34,0.8054213
35,3.228386
36,-3.308537
37,2.469259
38,2.7108593
39,-0.9054956
40,-1.7706146
41,0.59248424
42,3.6907394
43,2.9974725
44,-3.449796
45,5.3483157
46,1.6652043
47,3.3229392
48,0.23829114
49,-1.6268629
50,4.0243235
51,4.4258823
52,2.8924172
53,3.5377278
54,2.5684655
