,z
0,0.44447228
1,3.595369
2,-2.8412902
3,-0.122366406
4,-6.6218176
5,1.1749159
6,-4.208123
7,-0.5005016
8,2.2569525
9,-1.5454168
10,-0.5420195
11,-1.9108568
12,7.6964035
13,1.8263999
14,5.382212
15,-1.8116095
16,8.372309
17,10.573962
18,-1.0614269
19,-0.19680075
20,-0.7684318
21,-2.7828104
22,6.86109
23,5.3543863
24,-4.0732503
25,-3.886069
26,-2.2752874
27,-2.1780024
28,-4.4757075
29,-0.6249919
30,7.9105787
31,2.9180493
32,-1.7739036
33,3.1437824
34,-2.0429552
35,2.80012
36,-4.126914
37,-2.5198052
38,-2.113665
39,3.4588943
40,-3.229709
41,-6.0629287
42,3.9480157
43,4.5518017
44,3.0853534
45,-3.6781073
46,2.9665275
47,1.5287032
