,z
0,3.327602
1,-0.45336813
2,-0.10936163
3,-0.08147744
4,-3.7457197
5,0.2281974
6,-2.9280984
7,-1.1219921
8,-3.4198658
9,-1.3179433
10,-0.18185997
11,4.417204
12,-3.7560432
13,-1.5097761
14,0.21223593
15,0.23749988
16,4.9595194
17,-6.1699047
18,2.993092
19,2.1221838
20,1.7501734
21,2.575379
22,-1.967066
23,3.3700106
24,3.1744494
25,-0.7386724
26,-0.5759004
27,-2.1877837
28,-0.63686883
29,5.08082
30,-3.6117246
31,-3.3609006
32,7.7208657
33,4.700793
34,4.220288
35,0.44690654
36,1.3273451
37,0.7014045
38,-0.3106665
39,3.4453926
40,1.0436766
41,-2.0503447
42,-0.2166854
43,-1.8743621
44,-0.27603453
45,-6.322458
46,3.6132252
47,3.6887918
48,-3.4985576
49,-2.5157135
50,2.0820162
51,-0.4560777
