z,pt,dzErr
3.5600932,0.5847616,0.051761188
2.8360896,0.6301219,0.029226564
0.21438989,0.6290481,0.015607125
-1.3816053,0.7829088,0.010759839
1.2968901,1.0470518,0.08746113
1.1357378,0.858022,0.025884371
0.5818817,0.7603338,0.02095018
1.9378222,0.7546443,0.057383973
-1.0098149,1.1333264,0.013990072
-1.5018933,0.59371597,0.010271348
0.6075655,0.70706135,0.012119875
0.9232921,0.69226503,0.14373463
-18.325527,0.6905362,0.029565623
3.646744,1.4068878,0.5624357
6.727211,0.6656362,0.13007618
2.0139134,0.59839904,0.14734438
2.1057746,0.96267873,0.10067821
2.429251,1.5402069,0.05953326
1.7352797,1.138993,0.061462842
0.86945915,0.7989126,0.09586226
2.9252024,0.7935699,0.0828397
0.021103995,0.57741743,0.1407048
2.1831217,0.5044408,0.12640598
0.40998122,0.52653396,0.21559896
-0.91331494,0.8468593,0.06977778
-6.8902764,0.5220094,0.0918957
1.5179362,0.78024244,0.068204515
1.0663794,0.6553178,0.08894921
-2.3375218,0.7138137,0.06643557
-1.0562129,0.79332817,0.07935973
2.790065,0.62414867,0.09676748
1.083005,0.6229773,0.107115254
0.25659984,0.5148172,0.11696982
1.8776397,0.78756434,0.049399786
2.931363,0.89014035,0.0413387
6.8236995,0.53806674,0.086127
1.9539685,0.6325631,0.07535934
-1.3856059,0.62391853,0.072389096
-1.3963296,0.5808701,0.07730169
1.4812281,1.0783054,0.038175367
2.9440866,1.1657287,0.04018058
-1.4608397,0.74260336,0.06596703
3.3587723,0.6430535,0.059748553
-3.7909448,0.60106725,0.062939905
2.8588264,1.509606,0.025631808
-3.8243823,1.3816191,0.029004494
1.8647305,0.69527215,0.05749053
-0.9632634,0.91178864,0.036454435
-3.3792648,0.62721723,0.045243554
-1.1572826,1.0210989,0.030513456
1.4426856,0.51714617,0.0663658
-1.4974864,0.51013434,0.06048192
-6.956324,0.72729236,0.052536648
1.2250302,1.2655971,0.028812705
-0.9103355,0.809603,0.032999624
2.0106452,0.8493254,0.0390313
1.2309622,0.98140496,0.036217123
1.9931059,1.1915745,0.026861222
-0.96171606,1.0138069,0.032085523
2.1176367,0.723729,0.045874707
2.0050716,1.7716027,0.01777594
-0.44853657,1.0394776,0.028783688
2.898534,1.0202821,0.033878442
-1.2881633,0.5794298,0.042976793
-2.4366937,0.54213256,0.05492743
-3.795211,1.1800638,0.016130552
-6.962735,0.84660655,0.030211397
5.9757032,0.5524729,0.0470358
1.4366881,0.67358834,0.040151898
1.9144,0.5384472,0.044537596
2.8904529,2.4241464,0.010139905
0.5556839,0.61600155,0.042297613
6.787532,1.8889713,0.014791908
1.9008449,2.0389023,0.012912787
-1.4964559,1.7747517,0.013637766
6.791026,0.84977204,0.034502488
2.2800043,0.70049345,0.036639817
-1.5077064,1.136496,0.015846586
1.9143935,1.6630883,0.013304094
-3.7941277,1.1371411,0.019239914
2.901443,0.6702449,0.025261806
-1.714499,0.6127455,0.030440485
5.903507,6.278613,0.00586006
0.3159504,1.347371,0.016201427
-1.4937581,0.69053394,0.02640844
2.8934946,1.9599242,0.010566983
2.8895078,3.2507071,0.0080956295
-1.4891187,1.5889076,0.012805532
-6.940442,1.1383367,0.0137187205
0.5826761,0.62876683,0.018744929
-0.84548205,0.5080742,0.038514946
1.960673,0.81321704,0.018389815
1.9978602,0.8110841,0.01837357
2.9002957,1.4606239,0.010651189
5.9185324,0.66457427,0.020529037
2.9205682,1.6322854,0.011059125
2.902854,1.6513834,0.01243557
2.904152,1.7959652,0.0081286
-3.8204088,0.55790234,0.016918283
-2.4149845,0.69352543,0.014287581
2.0001128,0.774708,0.013332069
-2.4322965,0.99371374,0.009944833
-1.4741993,0.6172328,0.0225102
2.8865962,0.8819026,0.014070993
-1.5258476,0.6363533,0.016687732
-0.49264857,0.72484845,0.016948432
2.9077394,0.58606434,0.016019868
2.91761,1.1380388,0.010744739
1.9676926,0.55083805,0.015989559
-0.96344686,0.6937954,0.011215113
-0.96135837,0.6834178,0.0118902745
5.92952,0.549276,0.019780902
-1.4886367,0.87630576,0.009894906
2.128342,0.792003,0.009849569
6.801111,1.0398321,0.007966883
3.5516636,4.6726155,0.0036487998
-1.48829,3.5321786,0.00439089
-1.4919494,0.50330853,0.015252086
-1.3425306,0.7307779,0.010461856
2.113,0.55135524,0.014101661
1.9284185,0.70995647,0.013662192
-1.4802132,0.5138144,0.012604228
-0.9669074,0.8187794,0.010165839
5.917152,0.71725744,0.00892592
0.5825826,1.4793199,0.0066682473
1.2294338,1.5833197,0.005829986
1.2064601,1.3502983,0.008922595
-3.8031118,0.6969897,0.0098321615
1.2039689,0.97613406,0.0077481065
5.9052444,0.7922103,0.013518582
3.3224864,0.88653,0.008987861
2.8915095,1.3351659,0.0070787906
-1.3301803,0.8784656,0.008712587
-1.4928476,0.6272126,0.013687136
1.9155672,0.8104584,0.008900117
1.1876194,0.7255311,0.01044009
2.8949678,1.4160533,0.00608055
-3.804907,0.79385996,0.0075012376
0.5797622,1.1741536,0.007195136
-0.9711427,0.7424567,0.008763823
-6.941675,3.985312,0.003505305
2.8980758,1.9817139,0.00456758
-6.6779585,0.96653235,0.00724143
-0.9466599,0.6473051,0.013252094
6.7987456,0.66470325,0.010132858
-0.4459178,0.5769779,0.013152369
2.8959334,0.6439405,0.014052215
-6.9370713,1.0510372,0.0071749045
-1.5031687,2.0469372,0.0070958263
0.14797461,0.5392327,0.014143628
1.203758,0.504007,0.013359637
-6.9419456,0.649938,0.010589191
6.794764,0.6115176,0.0104269525
1.2085724,1.2705611,0.009061978
1.1765918,1.5237964,0.006187306
2.8934097,0.59478956,0.009743798
-0.9161547,0.8047439,0.0111046815
-1.7051103,0.8796308,0.006153698
6.811264,0.8227901,0.006769459
2.8956912,0.8263622,0.0068616853
6.8039036,0.6808776,0.010497749
1.4763496,0.5083609,0.011828867
-0.96667284,0.6248249,0.00908174
2.8913443,0.92492205,0.007595169
3.5632615,0.7074393,0.0072361734
-4.4495053,0.6200909,0.009741201
2.9057007,0.96532863,0.008277872
2.8985178,0.65480286,0.010472769
2.9014435,1.3451922,0.006793859
-0.97080445,2.3968632,0.0053667296
0.5823883,1.7871637,0.0059628747
1.9973979,0.5142077,0.011949524
-6.9392753,5.3993244,0.004376993
-6.9397297,7.5362105,0.004295959
-1.4863139,0.53403014,0.01192497
-0.9680241,1.9573138,0.005451526
-4.773701,0.6261069,0.010621803
6.785855,0.5648309,0.0104700625
-0.97426605,3.0500188,0.006796843
2.1381993,0.58659595,0.011774677
1.9142101,0.56329083,0.010995805
0.5911539,0.5110905,0.010900161
-0.9641018,2.7412882,0.004480055
-1.5026647,0.5642295,0.010634373
2.1587462,0.6149331,0.010986378
2.9052415,1.1497368,0.0072970134
1.2085297,0.67189217,0.010182246
1.2078334,0.61840403,0.012698237
-0.9657453,0.7178618,0.007291817
-6.9362426,1.8439685,0.005171201
-0.4495202,0.72221506,0.007345966
3.5645928,1.5375042,0.0041187196
-6.9343777,1.2105868,0.006788314
1.4849995,0.62948537,0.00874637
2.9036498,0.6262912,0.010242005
3.34687,0.67466676,0.010900856
1.1977699,2.297474,0.005189498
-0.9183247,2.3430412,0.0053043584
2.8902538,0.7072182,0.008857675
-0.95429754,1.0223151,0.0056176158
0.13413948,0.7780456,0.008942438
3.6085355,1.1208525,0.011086238
1.9406329,0.64084303,0.011482976
-3.8130312,0.8236294,0.011502371
-6.936928,1.2429148,0.0057927705
-0.95662993,0.8375755,0.0074337153
1.2036984,0.9215498,0.0074557057
2.1302588,1.7202275,0.005177286
-1.0292999,1.4638356,0.008547384
-2.8620229,0.82893384,0.00840653
1.909857,0.703334,0.008731828
2.8975332,0.98075765,0.006441244
6.789228,0.7916618,0.008786584
-0.9591635,0.5100718,0.011230747
-1.3283561,0.68493384,0.011466281
2.8981981,0.5206129,0.013055457
6.794649,1.4115978,0.0048672473
2.9018285,0.5639293,0.009906126
1.2011966,1.0773731,0.0062137535
1.9140091,1.2098571,0.0062996265
1.2083908,0.6559097,0.009537669
0.5742444,1.0709965,0.008582701
3.5596676,1.3515313,0.0065302714
1.4938061,0.56918967,0.011683343
2.9006996,3.404684,0.0032501977
0.58327675,0.7078105,0.009352576
-2.8310769,0.6720738,0.009625351
-1.9084079,0.5386282,0.014972845
-0.9667861,1.2189766,0.0064243996
-2.8546605,0.72596866,0.010611077
-6.6762877,0.5611553,0.0133913085
0.5794906,1.4454331,0.0056427373
-2.4447505,0.62015253,0.010631835
2.887636,0.66101533,0.011093062
2.892119,0.8200994,0.009101225
2.117826,0.8814479,0.008876869
-6.9280515,0.939708,0.008394972
5.9059734,0.9468509,0.007854795
-1.7270253,0.6495963,0.010626036
-1.4915084,3.0493124,0.0044025206
-1.4978719,0.7127606,0.009041782
6.7885575,1.1603998,0.009752647
5.872897,0.5795631,0.01478951
-0.90761375,0.88594174,0.00907164
1.208469,1.9568282,0.0048802127
-0.45097935,0.8598961,0.009351105
1.226518,5.161852,0.0037153387
-6.944729,3.4561963,0.0040472005
-1.494762,0.5209268,0.016398398
2.8940306,1.2822062,0.009345103
2.9295542,1.3945106,0.009327446
1.4780643,2.1365285,0.0054822764
2.8925557,0.99660766,0.008696584
1.9949353,0.99740773,0.011259201
2.025214,0.9343318,0.010178746
-0.43941802,0.5296412,0.018057816
-0.40002286,0.6686264,0.013424995
-0.93544227,0.57924646,0.018022332
1.9426634,0.5571765,0.018340578
1.9173203,0.65550673,0.013777079
-6.95143,0.6130919,0.013482836
1.9052157,0.7443157,0.014877576
1.7210664,0.5057219,0.020040145
1.520119,0.6626069,0.017542977
-6.9183707,1.0926787,0.010446071
2.9028244,3.0341084,0.008480402
5.917689,0.52351636,0.017970098
-0.97854674,1.1468217,0.010628026
-3.8388622,0.6458727,0.01879776
2.8668773,0.5270642,0.024006864
1.485726,1.0218756,0.019253973
1.9980522,0.9553948,0.017874544
1.9172691,0.68367946,0.014716428
-6.9430265,1.0973301,0.012250275
1.4839326,2.2403429,0.005894581
-1.5101643,1.0473659,0.013532861
1.4770764,1.5593,0.007875833
-0.9078512,0.55880904,0.018130217
1.2547643,0.5640535,0.01938772
-0.9210487,1.1427821,0.012248521
1.8914672,1.6226342,0.01050981
3.355939,0.82172877,0.018574886
1.2095935,2.7358077,0.0062592984
1.2072353,4.6256175,0.0066699567
2.0089462,0.5361028,0.031751506
-1.5004711,0.8227403,0.017557587
-6.923174,0.60119873,0.01992416
1.1817744,0.98228204,0.013078765
2.8967638,1.4755892,0.011260682
-6.932214,0.95570594,0.015947625
0.21512985,0.6831021,0.016895736
-0.96229637,0.62097675,0.024774203
1.2148691,0.9183354,0.018915916
-1.6764416,0.6641422,0.02853056
1.9686425,1.1045375,0.015789598
1.210145,1.4850379,0.014943416
1.4989867,0.8369501,0.018928533
1.4506333,0.63397026,0.028778274
1.195639,0.7546728,0.023989713
1.68375,1.466151,0.014325023
1.1944131,7.0452127,0.007459817
-0.8059642,0.62083244,0.032499786
1.457716,1.0716614,0.016450385
-0.9602606,0.74274373,0.023468275
1.4591043,0.50479037,0.035852883
1.9286513,0.5891876,0.041989956
-1.4486887,0.5890826,0.035757102
-3.79866,1.0678233,0.022796365
1.2300575,0.6147348,0.03740583
1.2045825,2.604273,0.0093829725
-0.97879285,2.5289512,0.009251001
1.4910219,1.1304544,0.022559257
-3.8426387,2.5066292,0.010161561
1.2132993,1.7313541,0.019563962
-0.899776,1.1607735,0.021088123
-1.9824997,0.69239783,0.036374345
0.64549583,0.5430612,0.044548504
5.8955383,0.95711845,0.035414457
1.8839678,1.1313357,0.025034117
1.2072763,2.0965216,0.01434046
2.9602437,0.79954356,0.04898808
-1.4943342,1.194946,0.031699385
-1.5093205,1.8893178,0.04314979
-1.9098077,0.5906752,0.052725613
-2.3454854,0.61972195,0.062412918
-0.9354201,0.7877492,0.039947376
0.60783994,0.66171694,0.04151349
-2.0296242,0.7521809,0.1343683
1.509304,2.6197073,0.014207441
1.8892051,1.2201571,0.03238801
0.5873586,0.89809525,0.03204253
1.9377126,0.5507968,0.052664615
-1.4551125,1.0005034,0.028568774
0.14969204,1.0018165,0.03070174
1.9530343,0.50478595,0.0568465
3.3549292,0.96205825,0.03535883
-0.42857495,1.0181909,0.036600884
1.2155248,2.3321404,0.014881832
1.1873533,2.5751858,0.013754565
-0.9394472,0.779569,0.041779444
1.1950805,0.6783157,0.04432533
1.2163864,6.8374596,0.014268603
1.8817066,0.8377029,0.039496467
1.2260536,18.23647,0.0048245653
1.3098254,0.6616792,0.050429534
1.9859004,0.6223964,0.050916415
2.90466,2.4283903,0.018219132
2.955536,0.83858347,0.05389062
2.894271,1.1514326,0.034429252
-1.1014755,0.51243025,0.20994127
0.080442496,0.7699334,0.0454595
1.9160404,1.069364,0.034963537
-3.9177976,0.96590257,0.0465151
2.8986623,2.3248293,0.04230233
1.2381148,1.3484584,0.032612447
-7.058076,0.58323354,0.06319681
-0.89465433,0.8651849,0.05179446
1.9939159,1.1508579,0.04148486
-6.6610646,1.3464632,0.032153465
-6.9064794,1.9982122,0.020387664
-3.7902284,1.3272009,0.031527903
-0.953933,1.9206324,0.019601732
-0.47185922,0.68487203,0.060765535
1.9988803,0.9973745,0.04370914
1.5696038,0.68840325,0.055027645
1.2179615,2.067606,0.026504219
1.9410907,0.5710475,0.1122979
2.9265876,1.7842932,0.03249748
3.391521,1.3937485,0.046374097
-1.7591405,1.0149505,0.05241029
1.1843827,0.94299585,0.049581673
1.1321515,1.8007362,0.027332157
3.415382,0.5795185,0.09335134
1.5471916,0.7806183,0.09290502
-0.7060527,1.0190624,0.06868545
-0.9397861,2.620901,0.028321471
0.5720576,1.04448,0.05128655
1.3698969,0.8067732,0.063010804
1.1909307,0.72365594,0.06757645
0.51736826,0.97114396,0.06445683
-2.8566203,1.3679048,0.049387775
1.1999557,0.50325984,0.12831642
-0.38670513,0.7617988,0.07723754
-6.890845,2.481763,0.042074803
-0.37695286,0.55194557,0.21949673
