,z
0,1.0495306
1,0.44473305
2,-2.2854993
3,-4.2055483
4,-7.992699
5,4.0779033
6,-1.9021922
7,0.5505574
8,-6.1773167
9,0.9499847
10,0.97858644
11,5.491659
12,6.8825135
13,-4.267279
14,1.8840027
15,3.2530787
16,4.624101
17,3.278476
18,-0.8833854
19,-1.5995015
20,-5.1716
21,3.4621322
22,2.4209077
23,3.0439425
24,-2.4453683
25,-4.6103735
26,-1.7108828
27,-3.3869946
28,0.8943587
29,2.5153306
30,1.4623666
31,1.4643109
32,-3.7715507
33,6.766842
34,2.6606345
35,2.3909967
36,6.837887
37,2.5900345
38,-4.5633307
39,6.889576
40,6.310369
41,2.6226254
42,-7.0254655
43,3.9422734
44,4.4593635
45,0.5346367
46,-3.9910207
47,0.56567836
48,-1.8716215
49,0.4261143
50,0.0865371
51,0.97296715
52,-3.0318127
53,-4.2048917
54,-0.5866635
55,3.6330416
56,0.2328412
