,z
0,3.2297504
1,-0.6016734
2,-3.0105882
3,-0.34772918
4,-2.7878084
5,3.322695
6,0.48186028
7,2.4497924
8,5.487868
9,3.3596473
10,-1.5419887
11,-5.2552056
12,1.0985208
13,-5.4602714
14,0.66842425
15,-4.2004366
16,6.3708234
17,-1.1293337
18,-3.2960312
19,4.5188546
20,-2.9283118
21,4.058628
22,-0.10184871
23,6.87481
24,-1.9055598
25,-4.8492503
26,3.7071433
27,-3.8720117
28,3.3616827
29,2.394905
30,1.1610996
31,0.71944606
32,4.7661242
33,7.3213334
34,2.4190133
35,0.76164216
36,4.9540033
37,0.19103567
38,11.377578
39,-3.0361874
40,-0.47245693
41,3.3361053
42,2.0379663
43,5.879329
44,-2.6590862
45,1.3933749
46,-4.239348
47,-0.45919642
48,4.857371
49,-1.4330293
50,-0.11203563
51,-4.118901
52,2.9884005
53,6.5570884
54,5.3547544
55,-4.7417197
56,-2.2505727
57,6.657314
58,0.4224105
59,-0.9228743
60,-2.792207
61,4.8160086
62,-0.571505
63,6.594539
