,z
0,7.2945256
1,7.25239
2,-0.8903885
3,5.896959
4,-0.24255113
5,3.0479896
6,3.439237
7,4.1610637
8,-0.8529287
9,-6.947868
10,0.5797179
11,-0.43515968
12,-0.9935256
13,-7.589073
14,5.535906
15,3.498318
16,2.929337
17,-0.32541475
18,1.0051692
19,6.6876473
20,-2.579053
21,-2.0961165
22,2.793256
23,-5.10318
24,3.2911649
25,-1.6635301
26,-2.3437085
27,4.2187257
28,4.6070075
29,-1.8723887
30,1.8233327
31,-2.9557433
32,-3.1391103
33,0.48840895
34,-4.495581
35,8.7927265
36,-3.6800618
37,0.9329646
38,-2.2468557
39,-3.3768568
40,8.750078
41,-9.809738
42,-3.4687228
43,-9.451738
