,z
0,5.882106
1,-0.6103278
2,3.4869418
3,1.4337581
4,1.7754519
5,4.8101506
6,2.0406966
7,0.4030466
8,4.6252494
9,-1.1693274
10,4.2969203
11,1.8751591
12,3.0471706
13,-1.7049795
14,0.03561188
15,0.1681626
16,0.70013523
17,3.7315357
18,0.11924451
19,4.710535
20,2.0051644
21,2.899121
22,11.843021
23,-4.8144393
24,1.6693474
25,1.1953838
26,-0.35620156
27,6.1960716
28,3.8442042
29,0.2664574
30,5.403147
31,-1.9624566
32,0.45928845
33,-2.4051847
34,-1.4358201
35,4.3713455
36,7.6175923
37,-8.911614
38,-5.186161
39,-0.19327958
40,-1.8506303
41,-3.646303
42,5.670141
43,-3.1136246
44,1.3464066
45,2.7277658
46,-5.59143
