,z
0,-5.570987
1,-7.9042096
2,-5.648083
3,5.405054
4,1.1215534
5,1.994009
6,-5.3858137
7,-3.0798032
8,-5.816412
9,-0.6311211
10,-6.2892118
11,-0.764082
12,-0.27984977
13,-3.3777764
14,-3.3874207
15,-0.8138017
16,-6.036682
17,-2.9611604
18,4.149482
19,-2.522417
20,5.860058
21,-5.9100323
22,1.8801452
23,-1.7271309
24,1.0340945
25,3.5039356
26,-3.1834667
27,1.9047334
28,6.735562
29,1.8164612
30,1.2053167
31,0.6393789
32,-1.8174877
33,0.7727713
34,1.6106081
35,3.016589
36,5.1478376
37,1.9735414
38,3.1431446
39,2.9636884
40,-5.5226173
41,2.693636
42,-2.0231104
43,1.0031457
44,1.0651083
45,0.5270549
46,0.08374023
47,-1.0726867
48,1.4949359
49,-0.9335175
50,-1.0075036
51,6.3388467
52,0.14775144
53,4.7657404
54,-6.9795322
55,-0.18587437
56,0.91832
57,2.0851805
58,3.9646049
59,-5.222627
60,-5.2248316
61,-1.4895749
62,6.771237
63,-5.2240696
