,z
0,2.5287898
1,-0.02086083
2,1.0408098
3,0.4538918
4,5.309142
5,2.3995302
6,-0.29512417
7,8.504239
8,9.977552
9,1.2170366
10,0.51249814
11,3.6074893
12,3.2212243
13,8.697085
14,-1.5312041
15,-1.527541
16,-3.4616072
17,-6.2888184
18,-0.9420036
19,0.85492325
20,1.222596
21,4.5495257
22,2.9151201
23,3.5547187
24,4.70517
25,-1.7831393
26,0.9551571
27,4.9767103
28,4.4386716
29,10.633516
30,-0.4634822
31,-7.3403835
32,2.667328
33,2.054087
34,-4.1083426
35,-4.2757874
36,3.5604913
37,-2.035768
38,-8.507316
39,2.3734572
40,10.3339815
41,-0.1110688
42,-1.6647325
43,3.4540274
44,4.09861
45,5.773334
46,3.547167
47,-2.2696228
48,0.5915543
49,-2.001024
50,6.0781097
51,1.2874014
52,2.0899334
53,2.838713
54,-0.4986265
55,3.3005228
56,1.1420193
57,0.5577292
58,3.6364021
59,-0.47075352
60,-3.5282698
61,0.6982695
62,-1.968843
63,0.050361905
