,z
0,2.6132855
1,-1.242643
2,-4.3407197
3,-2.8906095
4,0.5769742
5,-4.8088703
6,-2.547894
7,-7.030296
8,-0.48641387
9,6.961325
10,-5.22994
11,7.3410354
12,-4.644192
13,-1.5251981
14,-0.36799255
15,-0.8995295
16,1.8163129
17,-2.3914175
18,-2.8884568
19,-11.257778
20,4.1831393
21,-1.4961395
22,0.13175933
23,-6.593843
24,1.9221394
25,4.0198636
26,-1.8992683
27,0.39281824
28,-1.9498599
29,-3.90064
30,0.6664278
31,2.6984115
32,-2.0139937
33,-6.1868114
34,1.5327946
35,5.8482804
36,-2.3518322
37,-0.043108333
38,-0.30345136
39,-1.7898959
40,1.6572734
41,-6.4121923
42,-0.805543
43,9.530817
44,-1.9042636
45,1.3449488
46,0.22387812
47,-3.5829463
48,-3.1724877
49,-5.759954
50,1.8925425
51,-1.5379983
52,-1.4067391
53,0.02005624
54,5.4038076
55,-0.084646575
56,-2.2841122
57,-2.386204
58,1.4297662
59,-5.3891892
60,2.6319058
61,0.9779809
62,-9.141267
